sampleRate,channels,samples,length,class
44100.0,2,58082,1.3170521,gun_shot
48000.0,2,192000,4.0,children_playing
24000.0,2,96000,4.0,street_music
44100.0,2,176400,4.0,air_conditioner
44100.0,2,176400,4.0,air_conditioner
44100.0,2,176400,4.0,car_horn
44100.0,2,176400,4.0,siren
48000.0,2,192000,4.0,siren
44100.0,2,176400,4.0,drilling
22050.0,1,10143,0.46,dog_bark
44100.0,2,176400,4.0,engine_idling
48000.0,2,192000,4.0,air_conditioner
44100.0,2,176400,4.0,street_music
48000.0,2,192000,4.0,dog_bark
44100.0,2,176400,4.0,jackhammer
48000.0,2,192000,4.0,engine_idling
44100.0,2,176400,4.0,drilling
44100.0,2,176400,4.0,air_conditioner
44100.0,2,176400,4.0,engine_idling
44100.0,2,176400,4.0,dog_bark
44100.0,2,176400,4.0,car_horn
44100.0,2,176400,4.0,street_music
48000.0,2,192000,4.0,jackhammer
44100.0,2,131670,2.9857142,children_playing
44100.0,2,176400,4.0,dog_bark
48000.0,2,192000,4.0,siren
44100.0,2,176400,4.0,children_playing
44100.0,2,176400,4.0,street_music
44100.0,2,176400,4.0,engine_idling
44100.0,2,176400,4.0,dog_bark
44100.0,2,176400,4.0,dog_bark
44100.0,2,176400,4.0,engine_idling
44100.0,2,176400,4.0,street_music
44100.0,2,176400,4.0,air_conditioner
44100.0,2,176400,4.0,street_music
48000.0,2,162240,3.38,jackhammer
44100.0,2,176400,4.0,engine_idling
44100.0,2,176400,4.0,drilling
44100.0,2,51102,1.1587756,dog_bark
44100.0,2,176400,4.0,jackhammer
48000.0,2,192000,4.0,siren
44100.0,2,176400,4.0,drilling
48000.0,2,192000,4.0,air_conditioner
44100.0,2,138734,3.1458957,gun_shot
44100.0,2,176400,4.0,dog_bark
44100.0,2,176400,4.0,air_conditioner
48000.0,2,192000,4.0,siren
96000.0,2,384000,4.0,dog_bark
48000.0,1,192000,4.0,engine_idling
48000.0,2,192000,4.0,siren
96000.0,2,384000,4.0,dog_bark
44100.0,2,176400,4.0,air_conditioner
48000.0,2,192000,4.0,street_music
44100.0,2,176400,4.0,siren
44100.0,2,176400,4.0,siren
44100.0,2,176400,4.0,engine_idling
44100.0,2,176400,4.0,engine_idling
44100.0,2,176400,4.0,children_playing
44100.0,2,176400,4.0,street_music
44100.0,2,176400,4.0,dog_bark
44100.0,2,176400,4.0,street_music
48000.0,2,192000,4.0,siren
44100.0,2,176400,4.0,jackhammer
44100.0,2,176400,4.0,jackhammer
44100.0,2,176400,4.0,street_music
44100.0,2,176400,4.0,jackhammer
44100.0,2,176400,4.0,street_music
44100.0,2,176400,4.0,drilling
44100.0,2,176400,4.0,jackhammer
44100.0,1,176400,4.0,engine_idling
44100.0,2,176400,4.0,children_playing
44100.0,2,176400,4.0,jackhammer
44100.0,2,176400,4.0,street_music
48000.0,2,114720,2.39,jackhammer
44100.0,2,176400,4.0,street_music
48000.0,2,192000,4.0,street_music
48000.0,1,192000,4.0,drilling
48000.0,2,192000,4.0,siren
44100.0,2,176400,4.0,children_playing
44100.0,2,176400,4.0,children_playing
44100.0,2,176400,4.0,drilling
44100.0,2,176400,4.0,street_music
24000.0,2,96000,4.0,street_music
48000.0,2,192000,4.0,street_music
44100.0,1,43659,0.99,drilling
44100.0,1,21549,0.48863944,dog_bark
44100.0,2,176400,4.0,street_music
44100.0,2,176400,4.0,drilling
44100.0,2,176400,4.0,dog_bark
44100.0,2,22491,0.51,drilling
48000.0,2,192000,4.0,drilling
48000.0,2,192000,4.0,street_music
24000.0,2,96000,4.0,street_music
48000.0,2,192000,4.0,air_conditioner
48000.0,2,192000,4.0,engine_idling
44100.0,2,176400,4.0,street_music
48000.0,2,120480,2.51,gun_shot
48000.0,2,192000,4.0,siren
44100.0,2,30310,0.6873016,drilling
44100.0,2,176400,4.0,drilling
44100.0,2,176400,4.0,air_conditioner
44100.0,2,176400,4.0,engine_idling
48000.0,2,42720,0.89,car_horn
48000.0,1,192000,4.0,engine_idling
44100.0,2,176400,4.0,engine_idling
44100.0,2,176400,4.0,street_music
48000.0,2,38197,0.7957708,car_horn
48000.0,2,192000,4.0,siren
44100.0,2,176400,4.0,dog_bark
44100.0,2,176400,4.0,siren
44100.0,2,176400,4.0,air_conditioner
44100.0,2,176400,4.0,jackhammer
44100.0,2,176400,4.0,jackhammer
48000.0,2,192000,4.0,air_conditioner
44100.0,2,83349,1.89,dog_bark
44100.0,2,26017,0.5899547,car_horn
44100.0,2,176400,4.0,engine_idling
24000.0,2,96000,4.0,drilling
44100.0,2,94374,2.14,dog_bark
44100.0,1,176400,4.0,siren
48000.0,2,192000,4.0,children_playing
48000.0,2,192000,4.0,air_conditioner
44100.0,2,176400,4.0,drilling
48000.0,2,192000,4.0,engine_idling
48000.0,2,192000,4.0,street_music
44100.0,2,176400,4.0,jackhammer
44100.0,2,176400,4.0,drilling
44100.0,2,176400,4.0,drilling
44100.0,2,176400,4.0,jackhammer
48000.0,2,192000,4.0,air_conditioner
44100.0,2,176400,4.0,jackhammer
44100.0,2,53772,1.2193197,gun_shot
44100.0,2,176400,4.0,engine_idling
44100.0,2,44982,1.02,drilling
44100.0,2,176400,4.0,drilling
48000.0,2,192000,4.0,air_conditioner
48000.0,2,192000,4.0,children_playing
44100.0,2,176400,4.0,siren
48000.0,2,192000,4.0,air_conditioner
44100.0,2,176400,4.0,drilling
48000.0,2,192000,4.0,siren
44100.0,2,176400,4.0,engine_idling
48000.0,2,80514,1.677375,dog_bark
96000.0,2,384000,4.0,children_playing
44100.0,2,176400,4.0,street_music
48000.0,2,192000,4.0,siren
48000.0,2,192000,4.0,engine_idling
44100.0,2,176400,4.0,dog_bark
44100.0,2,12159,0.27571428,car_horn
96000.0,2,384000,4.0,drilling
96000.0,2,384000,4.0,drilling
44100.0,2,176400,4.0,jackhammer
44100.0,2,176400,4.0,dog_bark
48000.0,2,192000,4.0,children_playing
44100.0,2,176400,4.0,street_music
96000.0,2,384000,4.0,dog_bark
48000.0,2,192000,4.0,siren
44100.0,2,59094,1.34,car_horn
44100.0,2,176400,4.0,drilling
44100.0,2,3045,0.06904762,car_horn
48000.0,2,69464,1.4471667,gun_shot
44100.0,2,176400,4.0,siren
48000.0,1,192000,4.0,children_playing
48000.0,2,50235,1.0465626,jackhammer
96000.0,2,384000,4.0,jackhammer
44100.0,2,176400,4.0,jackhammer
96000.0,2,246332,2.5659583,jackhammer
48000.0,2,192000,4.0,street_music
44100.0,2,176400,4.0,dog_bark
44100.0,2,176400,4.0,dog_bark
48000.0,2,192000,4.0,street_music
48000.0,2,192000,4.0,siren
44100.0,2,176400,4.0,air_conditioner
48000.0,2,192000,4.0,siren
44100.0,2,176400,4.0,drilling
22050.0,1,88200,4.0,drilling
96000.0,2,384000,4.0,street_music
44100.0,2,176400,4.0,siren
96000.0,2,384000,4.0,drilling
44100.0,2,155504,3.5261679,dog_bark
44100.0,2,176400,4.0,dog_bark
44100.0,2,78057,1.77,dog_bark
44100.0,2,176400,4.0,drilling
48000.0,2,192000,4.0,jackhammer
44100.0,2,176400,4.0,siren
44100.0,2,176400,4.0,car_horn
44100.0,2,42777,0.97,drilling
48000.0,2,192000,4.0,jackhammer
44100.0,2,176400,4.0,air_conditioner
44100.0,2,138457,3.1396146,gun_shot
44100.0,2,176400,4.0,drilling
48000.0,2,192000,4.0,children_playing
44100.0,1,176400,4.0,siren
44100.0,2,176400,4.0,jackhammer
44100.0,2,176400,4.0,engine_idling
22050.0,1,88200,4.0,drilling
48000.0,2,192000,4.0,air_conditioner
44100.0,2,176400,4.0,siren
48000.0,2,192000,4.0,dog_bark
48000.0,2,129105,2.6896875,car_horn
44100.0,2,176400,4.0,drilling
44100.0,2,176400,4.0,dog_bark
44100.0,2,176400,4.0,jackhammer
44100.0,2,98294,2.228889,siren
96000.0,1,384000,4.0,drilling
44100.0,2,176400,4.0,engine_idling
44100.0,2,176400,4.0,dog_bark
24000.0,2,96000,4.0,drilling
48000.0,2,192000,4.0,air_conditioner
96000.0,2,384000,4.0,street_music
48000.0,2,192000,4.0,siren
44100.0,2,176400,4.0,siren
44100.0,2,176400,4.0,street_music
44100.0,2,176400,4.0,air_conditioner
44100.0,2,176400,4.0,car_horn
96000.0,2,384000,4.0,dog_bark
44100.0,2,31752,0.72,drilling
44100.0,2,176400,4.0,engine_idling
44100.0,2,54110,1.2269841,gun_shot
48000.0,2,192000,4.0,siren
48000.0,2,192000,4.0,jackhammer
48000.0,1,192000,4.0,children_playing
44100.0,2,96494,2.1880727,jackhammer
44100.0,2,176400,4.0,engine_idling
48000.0,2,136217,2.8378541,gun_shot
44100.0,2,176400,4.0,siren
44100.0,2,176400,4.0,dog_bark
44100.0,2,95919,2.175034,gun_shot
96000.0,2,384000,4.0,children_playing
48000.0,2,192000,4.0,children_playing
48000.0,2,37440,0.78,car_horn
48000.0,2,192000,4.0,siren
48000.0,2,66720,1.39,dog_bark
44100.0,1,176400,4.0,engine_idling
48000.0,2,192000,4.0,siren
48000.0,2,192000,4.0,engine_idling
48000.0,2,192000,4.0,engine_idling
48000.0,2,74400,1.55,jackhammer
48000.0,2,192000,4.0,street_music
48000.0,2,192000,4.0,siren
44100.0,2,176400,4.0,car_horn
44100.0,2,176400,4.0,jackhammer
48000.0,2,192000,4.0,street_music
44100.0,1,176400,4.0,street_music
44100.0,2,176400,4.0,dog_bark
48000.0,2,192000,4.0,air_conditioner
